Trading Day	Closing Price	Posting	NextDayPrice	Change	Up/Down	VolumeAfter
09/01/1999	38.563	NO	36.5	-2.063000000000002	DOWN	306000
09/02/1999	36.5	POST	37	0.5	UP	249200
09/03/1999	37	POST	36.375	-0.625	DOWN	169700
09/07/1999	36.375	POST	32.75	-3.625	DOWN	714000
09/08/1999	32.75	POST	31	-1.75	DOWN	913900
09/09/1999	31	POST	32.625	1.625	UP	917700
09/10/1999	32.625	POST	32.25	-0.375	DOWN	456800
09/13/1999	32.25	POST	32.75	0.5	UP	751400
09/14/1999	32.75	NO	32.813	0.06300000000000239	UP	329500
09/15/1999	32.813	POST	31.063	-1.750000000000004	DOWN	243200
09/16/1999	31.063	NO	30	-1.062999999999999	DOWN	485000
09/17/1999	30	POST	27.25	-2.75	DOWN	776500
09/20/1999	27.25	POST	27.5	0.25	UP	838400
09/21/1999	27.5	NO	28.25	0.75	UP	422100
09/22/1999	28.25	POST	29.25	1	UP	716500
09/23/1999	29.25	POST	30.625	1.375	UP	359100
09/24/1999	30.625	POST	29.563	-1.062000000000001	DOWN	285700
09/27/1999	29.563	POST	29.125	-0.4379999999999988	DOWN	219300
09/28/1999	29.125	POST	29.625	0.5	UP	346500
09/29/1999	29.625	POST	29.625	0	DOWN	249300
09/30/1999	29.625	POST	28.313	-1.312000000000001	DOWN	270700
10/01/1999	28.313	POST	27.688	-0.625	DOWN	188500
10/04/1999	27.688	POST	26.125	-1.562999999999999	DOWN	339400
10/05/1999	26.125	NO	26.094	-0.03099999999999881	DOWN	439100
10/06/1999	26.094	NO	26	-0.0940000000000012	DOWN	371800
10/07/1999	26	POST	24.375	-1.625	DOWN	342400
10/08/1999	24.375	NO	28.125	3.75	UP	953000
10/11/1999	28.125	POST	28	-0.125	DOWN	554500
10/12/1999	28	POST	27.75	-0.25	DOWN	333200
10/13/1999	27.75	POST	30.063	2.312999999999999	UP	785100
10/14/1999	30.063	POST	32.938	2.875000000000004	UP	1459000
10/15/1999	32.938	POST	32.125	-0.8130000000000024	DOWN	864100
10/18/1999	32.125	POST	29.5	-2.625	DOWN	449100
10/19/1999	29.5	POST	30.5	1	UP	334600
10/20/1999	30.5	POST	31.563	1.062999999999999	UP	334900
10/21/1999	31.563	POST	33.125	1.562000000000001	UP	507700
10/22/1999	33.125	NO	35.5	2.375	UP	763300
10/25/1999	35.5	NO	36	0.5	UP	765500
10/26/1999	36	NO	36.25	0.25	UP	528400
10/27/1999	36.25	NO	37	0.75	UP	339500
10/28/1999	37	NO	39.75	2.75	UP	700800
10/29/1999	39.75	NO	42.5	2.75	UP	765700
11/01/1999	42.5	POST	41.125	-1.375	DOWN	914700
11/02/1999	41.125	POST	45.375	4.25	UP	1099400
11/03/1999	45.375	NO	46.125	0.75	UP	576000
11/04/1999	46.125	NO	43.75	-2.375	DOWN	713300
11/05/1999	43.75	POST	39.125	-4.625	DOWN	938300
11/08/1999	39.125	POST	38.75	-0.375	DOWN	928700
11/09/1999	38.75	POST	38.625	-0.125	DOWN	694200
11/10/1999	38.625	POST	37	-1.625	DOWN	421900
11/11/1999	37	POST	39.25	2.25	UP	428100
11/12/1999	39.25	POST	38.438	-0.8119999999999976	DOWN	211800
11/15/1999	38.438	POST	40	1.561999999999998	UP	230300
11/16/1999	40	POST	44.5	4.5	UP	705100
11/17/1999	44.5	POST	42.5	-2	DOWN	310500
11/18/1999	42.5	POST	41.5	-1	DOWN	497000
11/19/1999	41.5	POST	49	7.5	UP	1254900
11/22/1999	49	POST	50	1	UP	1277300
11/23/1999	50	NO	50.688	0.6880000000000024	UP	483800
11/24/1999	50.688	NO	50.5	-0.1880000000000024	DOWN	153300
11/26/1999	50.5	NO	48.5	-2	DOWN	440700
11/29/1999	48.5	NO	43.25	-5.25	DOWN	945900
11/30/1999	43.25	NO	38.938	-4.311999999999998	DOWN	1265300
12/01/1999	38.938	NO	41.938	3	UP	934600
12/02/1999	41.938	NO	44.75	2.811999999999998	UP	884000
12/03/1999	44.75	NO	43.625	-1.125	DOWN	431700
12/06/1999	43.625	NO	48.563	4.938000000000002	UP	956400
12/07/1999	48.563	NO	60.375	11.812	UP	2384500
12/08/1999	60.375	NO	61.938	1.563000000000002	UP	1973200
12/09/1999	61.938	NO	64.75	2.811999999999998	UP	1161800
12/10/1999	64.75	NO	65.625	0.875	UP	772000
12/13/1999	65.625	NO	61	-4.625	DOWN	592800
12/14/1999	61	NO	59.875	-1.125	DOWN	494100
12/15/1999	59.875	NO	58.063	-1.811999999999998	DOWN	406300
12/16/1999	58.063	NO	59	0.9369999999999976	UP	387300
12/17/1999	59	NO	50.25	-8.75	DOWN	851600
12/20/1999	50.25	NO	49.125	-1.125	DOWN	719100
12/21/1999	49.125	NO	47.688	-1.436999999999998	DOWN	827200
12/22/1999	47.688	NO	49.438	1.75	UP	364300
12/23/1999	49.438	NO	48.563	-0.875	DOWN	238100
12/27/1999	48.563	NO	41.688	-6.875	DOWN	817400
12/28/1999	41.688	NO	38.625	-3.063000000000002	DOWN	926400
12/29/1999	38.625	NO	35.625	-3	DOWN	915000
12/30/1999	35.625	""	""	""	""	""
